TITLE;YEAR;IMDB RATING;USER RATINGS
Um Sonho de Liberdade;1994;9.2; 2,346,644
O Poderoso Chefão;1972;9.1; 1,623,096
O Poderoso Chefão II;1974;9.0; 1,131,764
Batman: O Cavaleiro das Trevas;2008;9.0; 2,306,531
12 Homens e uma Sentença;1957;8.9; 691,144
A Lista de Schindler;1993;8.9; 1,215,237
O Senhor dos Anéis: O Retorno do Rei;2003;8.9; 1,644,978
Pulp Fiction: Tempo de Violência;1994;8.8; 1,829,030
Três Homens em Conflito;1966;8.8; 689,395
O Senhor dos Anéis: A Sociedade do Anel;2001;8.8; 1,663,882
Clube da Luta;1999;8.8; 1,857,636
Forrest Gump: O Contador de Histórias;1994;8.8; 1,812,369
A Origem;2010;8.7; 2,070,445
O Senhor dos Anéis: As Duas Torres;2002;8.7; 1,487,652
Star Wars, Episódio V: O Império Contra-Ataca;1980;8.7; 1,160,943
Matrix;1999;8.6; 1,679,041
Os Bons Companheiros;1990;8.6; 1,022,606
Um Estranho no Ninho;1975;8.6; 919,335
Os Sete Samurais;1954;8.6; 316,240
Seven: Os Sete Crimes Capitais;1995;8.6; 1,447,687
A Vida é Bela;1997;8.6; 624,681
Cidade de Deus;2002;8.6; 700,086
O Silêncio dos Inocentes;1991;8.6; 1,272,280
A Felicidade Não se Compra;1946;8.6; 406,383
Guerra nas Estrelas;1977;8.6; 1,233,123
O Resgate do Soldado Ryan;1998;8.6; 1,237,725
À Espera de um Milagre;1999;8.5; 1,149,802
A Viagem de Chihiro;2001;8.5; 652,875
Interestelar;2014;8.5; 1,515,620
Parasita;2019;8.5; 557,122
O Profissional;1994;8.5; 1,036,976
Harakiri;1962;8.5; 42,300
Os Suspeitos;1995;8.5; 992,569
O Rei Leão;1994;8.5; 943,510
O Pianista;2002;8.5; 730,944
De Volta para o Futuro;1985;8.5; 1,059,813
O Exterminador do Futuro 2: O Julgamento Final;1991;8.5; 996,680
A Outra História Americana;1998;8.5; 1,035,903
Tempos Modernos;1936;8.5; 218,296
Gladiador;2000;8.5; 1,343,296
Psicose;1960;8.5; 605,114
Os Infiltrados;2006;8.5; 1,191,672
Luzes da Cidade;1931;8.5; 168,156
Intocáveis;2011;8.5; 762,012
